name,symbol,price,day,time,date,minute
Baytex Energy Corp,BTE,0.3524,Thursday,13:22,20200924,1320
Enerplus Corp,ERF,1.85,Thursday,13:22,20200924,1320
Boralex Inc,BLX,12.22,Thursday,13:22,20200924,1320
Entree Resources Ltd,ETG,14.6,Thursday,13:22,20200924,1320
Evolve Active Global Fixed Income ETF,EARN,11.25,Thursday,13:22,20200924,1320
Ensign Energy Services Inc,ESI,10.55,Thursday,13:22,20200924,1320
Bri Chem Corp,BRY,3.22,Thursday,13:22,20200924,1320
Electrovaya Inc,EFL,8.79,Thursday,13:22,20200924,1320
Energy Fuels Inc,EFR,11.72,Thursday,13:22,20200924,1320
Evolve Innovation Index ETF,EDGE,0.5036,Thursday,13:22,20200924,1320
Exemplar Growth and Income Fund ETF,EGIF,12.55,Thursday,13:22,20200924,1320
Equinox Gold Corp,EQX,11.47,Thursday,13:22,20200924,1320
Euromax Resources Ltd,EOX,1.37,Thursday,13:22,20200924,1320
Andlauer Healthcare Group Inc,AND,9.7,Thursday,13:22,20200924,1320
Aimia Inc,AIM,2.0411,Thursday,13:22,20200924,1320
Alamos Gold Inc Cls A,AGI,8.81,Thursday,13:22,20200924,1320
Avino Silver and Gold Mines Ltd,ASM,1.01,Thursday,13:22,20200924,1320
Aeterna Zentaris Inc,AEZS,0.3441,Thursday,13:22,20200924,1320
Acuityads Holdings Inc,AT,1.98,Thursday,13:22,20200924,1320
Apollo Healthcare Corp.,AHC,1.375,Thursday,13:22,20200924,1320
Aurora Cannabis Inc,ACB,5.26,Thursday,13:22,20200924,1320
Atrium Mortgage Investment Corp,AI,2.67,Thursday,13:22,20200924,1320
Aphria Inc,APHA,4.28,Thursday,13:22,20200924,1320
Argonaut Gold Inc,AR,3.175,Thursday,13:22,20200924,1320
Auryn Resources Inc,AUG,1.95,Thursday,13:22,20200924,1320
Alexco Resource Corp,AXU,2.71,Thursday,13:22,20200924,1320
Anglo Pacific Group Plc,APY,10.34,Thursday,13:22,20200924,1320
Intertape Polymer,ITP,0.474,Thursday,13:22,20200924,1320
Intellipharmaceutics International Inc,IPCI,0.2106,Thursday,13:22,20200924,1320
Agjunction Inc,AJX,9.27,Thursday,13:22,20200924,1320
Imperial Metals Corp,III,2.05,Thursday,13:22,20200924,1320
Imperial Oil,IMO,12.77,Thursday,13:22,20200924,1320
Industrial Alliance Ins & Fin Srv Inc,IAG,3.815,Thursday,13:22,20200924,1320
Imv Inc.,IMV,4.45,Thursday,13:22,20200924,1320
Fortune Mnrl J,FT,6.83,Thursday,13:22,20200924,1320
CI First Asset European Bank ETF,FHB,14.79,Thursday,13:22,20200924,1320
First Mining Gold Corp,FF,11.52,Thursday,13:22,20200924,1320
Ishares 1-10 Yr Laddered Corp Bond ETF,CBH,8.89,Thursday,13:22,20200924,1320
Franklin Libertyqt Intl Eqt Index ETF,FLDM,7.24,Thursday,13:22,20200924,1320
Evolve Automobile Innovation Idx Hgd ETF,CARS,7.97,Thursday,13:22,20200924,1320
CI First Asset Shrt Term Govt Bond Indx,FGB,2.36,Thursday,13:22,20200924,1320
Cameco Corp,CCO,0.9277,Thursday,13:22,20200924,1320
CIBC Global Growth ETF,CGLO,4.96,Thursday,13:22,20200924,1320
Clearwater Seafoods Incorporated,CLR,12.94,Thursday,13:22,20200924,1320
CI Financial Corp,CIX,13.71,Thursday,13:22,20200924,1320
Chesswood Group Limited,CHW,7.95,Thursday,13:22,20200924,1320
CI Marret Alternative Enhanced Yield ETF,CMEY,0.0001,Thursday,13:22,20200924,1320
Canarc Res J,CCM,2.0,Thursday,13:22,20200924,1320
Cae Inc,CAE,14.2,Thursday,13:22,20200924,1320
Ishares 1-5Yr Laddered Corp Bond ETF,CBO,13.3,Thursday,13:22,20200924,1320
CI Global Real Asset Private Pool ETF,CGRA,0.0036,Thursday,13:22,20200924,1320
Ishares 1-5 Yr Ladder Govt Bond ETF,CLF,5.84,Thursday,13:22,20200924,1320
BMO Global Communications Index ETF,COMM,8.48,Thursday,13:22,20200924,1320
Capstone Mining Corp,CS,9.69,Thursday,13:22,20200924,1320
Champion Iron Limited,CIA,5.37,Thursday,13:22,20200924,1320
Cronos Group Inc,CRON,5.19,Thursday,13:22,20200924,1320
Celestica Inc Sv,CLS,7.09,Thursday,13:22,20200924,1320
Cenovus Energy Inc,CVE,4.025,Thursday,13:22,20200924,1320
Crescent Point Energy Corp,CPG,1.305,Thursday,13:22,20200924,1320
Just Energy Group Inc,JE,0.4579,Thursday,13:22,20200924,1320
Lithium Americas Corp,LAC,7.38,Thursday,13:22,20200924,1320
Keyera Corp,KEY,11.79,Thursday,13:22,20200924,1320
Obsidian Energy Ltd,OBE,0.163,Thursday,13:22,20200924,1320
Ishares Global Monthly Dividend ETF,CYH,3.77,Thursday,13:22,20200924,1320
Evolve Global Healthcare Enhance Yld ETF,LIFE,3.8212,Thursday,13:22,20200924,1320
Osisko Gold Royalties Ltd,OR,11.74,Thursday,13:22,20200924,1320
Methanex Corp,MX,13.24,Thursday,13:22,20200924,1320
Ovintiv Inc,OVV,9.03,Thursday,13:22,20200924,1320
Magna International Inc,MG,3.9,Thursday,13:22,20200924,1320
Organigram Holdings Inc,OGI,1.095,Thursday,13:22,20200924,1320
Mullen Group Ltd,MTL,1.505,Thursday,13:22,20200924,1320
Mcewen Mining Inc,MUX,1.015,Thursday,13:22,20200924,1320
Excelsior Mining Corp,MIN,3.8,Thursday,13:22,20200924,1320
Quarterhill Inc,QTRH,1.2,Thursday,13:22,20200924,1320
Mav Beauty Brands Inc,MAV,10.74,Thursday,13:22,20200924,1320
Mackenzie Max Dvrs US Index ETF,MUS,12.51,Thursday,13:22,20200924,1320
Mackenzie Floating Rate Income ETF,MFT,13.34,Thursday,13:22,20200924,1320
Horizons Active Ai Global Equity ETF,MIND,2.12,Thursday,13:22,20200924,1320
Mogo Inc,MOGO,1.46,Thursday,13:22,20200924,1320
New Millennium Iron Corp,NML,2.3678,Thursday,13:22,20200924,1320
Manulife Fin,MFC,13.84,Thursday,13:22,20200924,1320
Medicenna Therapeutics Corp,MDNA,3.755,Thursday,13:22,20200924,1320
Neptune Wellness Solutions Inc,NEPT,2.215,Thursday,13:22,20200924,1320
Nextsource Materials Inc,NEXT,2.88,Thursday,13:22,20200924,1320
Nexa Resources S.A.,NEXA,5.98,Thursday,13:22,20200924,1320
New Gold Inc,NGD,1.685,Thursday,13:22,20200924,1320
Nexj Systems Inc,NXJ,13.5,Thursday,13:22,20200924,1320
RBC Target 2021 Corp Bond Index ETF,RQI,10.86,Thursday,13:22,20200924,1320
Nexgen Energy Ltd,NXE,1.65,Thursday,13:22,20200924,1320
Canopy Rivers Inc,RIV,14.35,Thursday,13:22,20200924,1320
Resolute Forest Products Inc,RFP,4.41,Thursday,13:22,20200924,1320
Neovasc Inc,NVCN,2.07,Thursday,13:22,20200924,1320
RBC Quant Emrg Mkts Div Leaders ETF,RXD,12.6,Thursday,13:22,20200924,1320
Powershares 1 To 3 Yr Lad Float Rate ETF,PFL,9.99,Thursday,13:22,20200924,1320
RBC Quant Global Infras Leaders ETF,RIG,0.9312,Thursday,13:22,20200924,1320
Purpose Intl Dividend Fund ETF,PID,12.61,Thursday,13:22,20200924,1320
Sprott Physical Gold Trust CAD,PHYS,14.98,Thursday,13:22,20200924,1320
RBC US Banks Yield Index ETF CAD,RUBY,4.66,Thursday,13:22,20200924,1320
Platinum Group Metals Ltd,PTM,10.47,Thursday,13:22,20200924,1320
Prairie Provident Resources Inc,PPR,4.45,Thursday,13:22,20200924,1320
Purpose Multi Strategy Mkt Neutral Fund,PMM,7.73,Thursday,13:22,20200924,1320
Purpose Enhanced Dividend Fund ETF,PDIV,0.06,Thursday,13:22,20200924,1320
CPI Card Group Inc,PMTS,1.86,Thursday,13:22,20200924,1320
Picton Mahoney Multi Strat Alt Fund ETF,PFMS,0.0029,Thursday,13:22,20200924,1320
Phx Energy Services Corp,PHX,1.6682,Thursday,13:22,20200924,1320
Pretium Resources Inc,PVG,12.58,Thursday,13:22,20200924,1320
Purpose Diversified Real Asset Fund ETF,PRA,14.71,Thursday,13:22,20200924,1320
Primo Water Corporation,PRMW,13.93,Thursday,13:22,20200924,1320
Purpose Best Ideas Fund ETF,PBI,5.12,Thursday,13:22,20200924,1320
Sentry Select Primary Metals Corp,PME,1.41,Thursday,13:22,20200924,1320
Peyto Exploration and Dvlpmnt Corp,PEY,14.1,Thursday,13:22,20200924,1320
Americas Silver Corp,USA,5.85,Thursday,13:22,20200924,1320
Trisura Group Ltd,TSU,12.32,Thursday,13:22,20200924,1320
Transatlantic Petroleum Ltd,TNP,7.33,Thursday,13:22,20200924,1320
Tecsys Inc J,TCS,6.34,Thursday,13:22,20200924,1320
Trillium Therapeutics Inc,TRIL,13.7,Thursday,13:22,20200924,1320
TD S&P TSX Capped Comp Index ETF,TTP,12.04,Thursday,13:22,20200924,1320
Trevali Mining Corp,TV,6.35,Thursday,13:22,20200924,1320
Village Farms International Inc,VFF,4.95,Thursday,13:22,20200924,1320
Turquoise Hill Resources Ltd,TRQ,0.831,Thursday,13:22,20200924,1320
Vista Gold Corp,VGZ,1.105,Thursday,13:22,20200924,1320
Scotia Strategic Intl Eqty ETF Portfolio,SINT,1.81,Thursday,13:22,20200924,1320
Silvercorp Metals Inc,SVM,7.12,Thursday,13:22,20200924,1320
Westport Fuel Systems Inc,WPRT,1.66,Thursday,13:22,20200924,1320
Suncor Energy Inc,SU,12.88,Thursday,13:22,20200924,1320
CI First Asset US Trendleaders ETF,SID,2.88,Thursday,13:22,20200924,1320
Stella Jones Inc,SJ,6.05,Thursday,13:22,20200924,1320
The Second Cup Ltd,SCU,11.09,Thursday,13:22,20200924,1320
Sandstorm Gold Ltd,SSL,7.6,Thursday,13:22,20200924,1320
Vermilion Energy Inc,VET,2.64,Thursday,13:22,20200924,1320
Ishares MSCI EAFE Index ETF,XIN,1.74,Thursday,13:22,20200924,1320
Tmx Group Limited,X,7.25,Thursday,13:22,20200924,1320
Glg Life Tech Corp,GLG,2.41,Thursday,13:26,20200924,1326
Global Atomic Corp,GLO,9.05,Thursday,13:26,20200924,1326
Goodfellow Inc,GDL,8.4,Thursday,13:26,20200924,1326
Galiano Gold Inc,GAU,1.37,Thursday,13:26,20200924,1326
Horizons Active CDN Dividend ETF,HAL,12.6,Thursday,13:26,20200924,1326
Gran Tierra Energy Inc,GTE,0.2519,Thursday,13:26,20200924,1326
General Moly Inc,GMO,0.1164,Thursday,13:26,20200924,1326
Geodrill Limited,GEO,10.86,Thursday,13:26,20200924,1326
Hudbay Minerals Inc,HBM,3.97,Thursday,13:26,20200924,1326
Gold Standard Ventures Corp,GSV,0.7424,Thursday,13:26,20200924,1326
Accelerate Absolute Return Hdg Fund ETF,HDGE,4.535,Thursday,13:26,20200924,1326
Betapro S&P TSX 60 Daily Inverse ETF,HIX,6.48,Thursday,13:26,20200924,1326
Horizons Enhanced Income Gold Prod ETF,HEP,12.6,Thursday,13:26,20200924,1326
Horizons Active Pref Share ETF,HPR,0.251,Thursday,13:26,20200924,1326
Horizons Active High Yield Bond ETF,HYI,13.98,Thursday,13:26,20200924,1326
Helix Biopharm,HBP,2.12,Thursday,13:26,20200924,1326
Horizons Resolve Adptv Asset Alloc ETF,HRAA,0.0061,Thursday,13:26,20200924,1326
Dbox Technologies Inc,DBO,7.22,Thursday,13:26,20200924,1326
Dividend Select 15 Corp,DS,1.195,Thursday,13:26,20200924,1326
Dynamic Ishares Act Global Fin Ser ETF,DXF,0.68,Thursday,13:26,20200924,1326
Hexo Corp,HEXO,0.6466,Thursday,13:26,20200924,1326
Desjardins CDN Pref Share ETF,DCP,10.37,Thursday,13:26,20200924,1326
Brompton Na Financials Dividend ETF,BFIN,7.09,Thursday,13:26,20200924,1326
Blackberry Limited,BB,5.05,Thursday,13:26,20200924,1326
Bellus Health Inc,BLU,2.18,Thursday,13:26,20200924,1326
Boralex Inc,BLX,12.21,Thursday,13:26,20200924,1326
Diversified Royalty Corp,DIV,14.79,Thursday,13:26,20200924,1326
First Trust Indxx Innov Trans Proc ETF,BLCK,1.1,Thursday,13:26,20200924,1326
Bri Chem Corp,BRY,3.2411,Thursday,13:26,20200924,1326
Enerplus Corp,ERF,1.8544,Thursday,13:26,20200924,1326
Ensign Energy Services Inc,ESI,10.55,Thursday,13:26,20200924,1326
Entree Resources Ltd,ETG,14.6,Thursday,13:26,20200924,1326
Evolve Active Global Fixed Income ETF,EARN,11.25,Thursday,13:26,20200924,1326
Baytex Energy Corp,BTE,0.3524,Thursday,13:26,20200924,1326
Exemplar Growth and Income Fund ETF,EGIF,12.55,Thursday,13:26,20200924,1326
Energy Fuels Inc,EFR,11.72,Thursday,13:26,20200924,1326
Electrovaya Inc,EFL,8.84,Thursday,13:26,20200924,1326
Alamos Gold Inc Cls A,AGI,8.83,Thursday,13:26,20200924,1326
Euromax Resources Ltd,EOX,1.37,Thursday,13:26,20200924,1326
Equinox Gold Corp,EQX,11.49,Thursday,13:26,20200924,1326
Evolve Innovation Index ETF,EDGE,0.5036,Thursday,13:26,20200924,1326
Aimia Inc,AIM,2.02,Thursday,13:26,20200924,1326
Avino Silver and Gold Mines Ltd,ASM,1.008,Thursday,13:26,20200924,1326
Andlauer Healthcare Group Inc,AND,9.7,Thursday,13:26,20200924,1326
Acuityads Holdings Inc,AT,1.98,Thursday,13:26,20200924,1326
Aeterna Zentaris Inc,AEZS,0.3457,Thursday,13:26,20200924,1326
Aurora Cannabis Inc,ACB,5.24,Thursday,13:26,20200924,1326
Argonaut Gold Inc,AR,3.175,Thursday,13:26,20200924,1326
Anglo Pacific Group Plc,APY,10.34,Thursday,13:26,20200924,1326
Atrium Mortgage Investment Corp,AI,2.67,Thursday,13:26,20200924,1326
Apollo Healthcare Corp.,AHC,1.375,Thursday,13:26,20200924,1326
Agjunction Inc,AJX,9.31,Thursday,13:26,20200924,1326
Alexco Resource Corp,AXU,2.72,Thursday,13:26,20200924,1326
Auryn Resources Inc,AUG,1.9482,Thursday,13:26,20200924,1326
Intertape Polymer,ITP,0.474,Thursday,13:26,20200924,1326
Intellipharmaceutics International Inc,IPCI,0.2106,Thursday,13:26,20200924,1326
Aphria Inc,APHA,4.2865,Thursday,13:26,20200924,1326
Imperial Oil,IMO,12.78,Thursday,13:26,20200924,1326
Imperial Metals Corp,III,2.05,Thursday,13:26,20200924,1326
Imv Inc.,IMV,4.45,Thursday,13:26,20200924,1326
Industrial Alliance Ins & Fin Srv Inc,IAG,3.825,Thursday,13:26,20200924,1326
Franklin Libertyqt Intl Eqt Index ETF,FLDM,7.21,Thursday,13:26,20200924,1326
Fortune Mnrl J,FT,6.84,Thursday,13:26,20200924,1326
First Mining Gold Corp,FF,11.53,Thursday,13:26,20200924,1326
CI First Asset European Bank ETF,FHB,14.78,Thursday,13:26,20200924,1326
Cameco Corp,CCO,0.9278,Thursday,13:26,20200924,1326
Ishares 1-10 Yr Laddered Corp Bond ETF,CBH,8.89,Thursday,13:26,20200924,1326
CI First Asset Shrt Term Govt Bond Indx,FGB,2.36,Thursday,13:26,20200924,1326
CIBC Global Growth ETF,CGLO,4.96,Thursday,13:26,20200924,1326
CI Financial Corp,CIX,13.71,Thursday,13:26,20200924,1326
Chesswood Group Limited,CHW,7.96,Thursday,13:26,20200924,1326
Clearwater Seafoods Incorporated,CLR,12.94,Thursday,13:26,20200924,1326
Evolve Automobile Innovation Idx Hgd ETF,CARS,7.98,Thursday,13:26,20200924,1326
CI Marret Alternative Enhanced Yield ETF,CMEY,0.0001,Thursday,13:26,20200924,1326
Cae Inc,CAE,14.2,Thursday,13:26,20200924,1326
BMO Global Communications Index ETF,COMM,8.49,Thursday,13:26,20200924,1326
Canarc Res J,CCM,2.0,Thursday,13:26,20200924,1326
CI Global Real Asset Private Pool ETF,CGRA,0.0036,Thursday,13:26,20200924,1326
Ishares 1-5Yr Laddered Corp Bond ETF,CBO,13.3,Thursday,13:26,20200924,1326
Capstone Mining Corp,CS,9.7,Thursday,13:26,20200924,1326
Ishares 1-5 Yr Ladder Govt Bond ETF,CLF,5.83,Thursday,13:26,20200924,1326
Celestica Inc Sv,CLS,7.09,Thursday,13:26,20200924,1326
Champion Iron Limited,CIA,5.37,Thursday,13:26,20200924,1326
Ishares Global Monthly Dividend ETF,CYH,3.755,Thursday,13:26,20200924,1326
Cronos Group Inc,CRON,5.18,Thursday,13:26,20200924,1326
Crescent Point Energy Corp,CPG,1.305,Thursday,13:26,20200924,1326
Just Energy Group Inc,JE,0.4603,Thursday,13:26,20200924,1326
Cenovus Energy Inc,CVE,4.03,Thursday,13:26,20200924,1326
Lithium Americas Corp,LAC,7.34,Thursday,13:26,20200924,1326
Osisko Gold Royalties Ltd,OR,11.78,Thursday,13:26,20200924,1326
Obsidian Energy Ltd,OBE,0.163,Thursday,13:26,20200924,1326
Keyera Corp,KEY,11.78,Thursday,13:26,20200924,1326
Evolve Global Healthcare Enhance Yld ETF,LIFE,3.8212,Thursday,13:26,20200924,1326
Organigram Holdings Inc,OGI,1.095,Thursday,13:26,20200924,1326
Magna International Inc,MG,3.9,Thursday,13:26,20200924,1326
Mullen Group Ltd,MTL,1.505,Thursday,13:26,20200924,1326
Excelsior Mining Corp,MIN,3.8,Thursday,13:26,20200924,1326
Methanex Corp,MX,13.26,Thursday,13:26,20200924,1326
Mackenzie Max Dvrs US Index ETF,MUS,12.51,Thursday,13:26,20200924,1326
Quarterhill Inc,QTRH,1.2,Thursday,13:26,20200924,1326
Ovintiv Inc,OVV,9.02,Thursday,13:26,20200924,1326
Manulife Fin,MFC,13.84,Thursday,13:26,20200924,1326
Medicenna Therapeutics Corp,MDNA,3.755,Thursday,13:26,20200924,1326
Mav Beauty Brands Inc,MAV,10.74,Thursday,13:26,20200924,1326
Horizons Active Ai Global Equity ETF,MIND,2.12,Thursday,13:26,20200924,1326
Mcewen Mining Inc,MUX,1.02,Thursday,13:26,20200924,1326
Mackenzie Floating Rate Income ETF,MFT,13.34,Thursday,13:26,20200924,1326
Nexa Resources S.A.,NEXA,5.98,Thursday,13:26,20200924,1326
Mogo Inc,MOGO,1.455,Thursday,13:26,20200924,1326
Nexj Systems Inc,NXJ,13.5,Thursday,13:26,20200924,1326
Nextsource Materials Inc,NEXT,2.88,Thursday,13:26,20200924,1326
New Millennium Iron Corp,NML,2.3678,Thursday,13:26,20200924,1326
Resolute Forest Products Inc,RFP,4.41,Thursday,13:26,20200924,1326
Neovasc Inc,NVCN,2.0705,Thursday,13:26,20200924,1326
RBC US Banks Yield Index ETF CAD,RUBY,4.66,Thursday,13:26,20200924,1326
Canopy Rivers Inc,RIV,14.35,Thursday,13:26,20200924,1326
Neptune Wellness Solutions Inc,NEPT,2.215,Thursday,13:26,20200924,1326
New Gold Inc,NGD,1.695,Thursday,13:26,20200924,1326
Nexgen Energy Ltd,NXE,1.65,Thursday,13:26,20200924,1326
RBC Target 2021 Corp Bond Index ETF,RQI,10.87,Thursday,13:26,20200924,1326
RBC Quant Emrg Mkts Div Leaders ETF,RXD,12.6,Thursday,13:26,20200924,1326
Sprott Physical Gold Trust CAD,PHYS,14.98,Thursday,13:26,20200924,1326
Powershares 1 To 3 Yr Lad Float Rate ETF,PFL,10.03,Thursday,13:26,20200924,1326
Platinum Group Metals Ltd,PTM,10.47,Thursday,13:26,20200924,1326
Prairie Provident Resources Inc,PPR,4.45,Thursday,13:26,20200924,1326
Purpose Intl Dividend Fund ETF,PID,12.62,Thursday,13:26,20200924,1326
RBC Quant Global Infras Leaders ETF,RIG,0.931,Thursday,13:26,20200924,1326
Purpose Multi Strategy Mkt Neutral Fund,PMM,7.73,Thursday,13:26,20200924,1326
Pretium Resources Inc,PVG,12.6,Thursday,13:26,20200924,1326
CPI Card Group Inc,PMTS,1.86,Thursday,13:26,20200924,1326
Peyto Exploration and Dvlpmnt Corp,PEY,14.14,Thursday,13:26,20200924,1326
Purpose Enhanced Dividend Fund ETF,PDIV,0.06,Thursday,13:26,20200924,1326
Purpose Diversified Real Asset Fund ETF,PRA,14.77,Thursday,13:26,20200924,1326
Picton Mahoney Multi Strat Alt Fund ETF,PFMS,0.0029,Thursday,13:26,20200924,1326
Purpose Best Ideas Fund ETF,PBI,5.12,Thursday,13:26,20200924,1326
Trisura Group Ltd,TSU,12.31,Thursday,13:26,20200924,1326
Americas Silver Corp,USA,5.85,Thursday,13:26,20200924,1326
Phx Energy Services Corp,PHX,1.6682,Thursday,13:26,20200924,1326
Sentry Select Primary Metals Corp,PME,1.41,Thursday,13:26,20200924,1326
Primo Water Corporation,PRMW,13.94,Thursday,13:26,20200924,1326
Tecsys Inc J,TCS,6.34,Thursday,13:26,20200924,1326
Trillium Therapeutics Inc,TRIL,13.71,Thursday,13:26,20200924,1326
TD S&P TSX Capped Comp Index ETF,TTP,12.04,Thursday,13:26,20200924,1326
Turquoise Hill Resources Ltd,TRQ,0.8315,Thursday,13:26,20200924,1326
Transatlantic Petroleum Ltd,TNP,7.33,Thursday,13:26,20200924,1326
Vermilion Energy Inc,VET,2.655,Thursday,13:26,20200924,1326
Westport Fuel Systems Inc,WPRT,1.66,Thursday,13:26,20200924,1326
Silvercorp Metals Inc,SVM,7.13,Thursday,13:26,20200924,1326
Village Farms International Inc,VFF,4.96,Thursday,13:26,20200924,1326
The Second Cup Ltd,SCU,11.08,Thursday,13:26,20200924,1326
Trevali Mining Corp,TV,6.37,Thursday,13:26,20200924,1326
Vista Gold Corp,VGZ,1.1,Thursday,13:26,20200924,1326
Stella Jones Inc,SJ,6.05,Thursday,13:26,20200924,1326
Tmx Group Limited,X,7.24,Thursday,13:26,20200924,1326
Suncor Energy Inc,SU,12.89,Thursday,13:26,20200924,1326
CI First Asset US Trendleaders ETF,SID,2.89,Thursday,13:26,20200924,1326
Ishares MSCI EAFE Index ETF,XIN,1.74,Thursday,13:26,20200924,1326
Scotia Strategic Intl Eqty ETF Portfolio,SINT,1.83,Thursday,13:26,20200924,1326
Sandstorm Gold Ltd,SSL,7.61,Thursday,13:26,20200924,1326
Global Atomic Corp,GLO,9.06,Thursday,13:29,20200924,1329
General Moly Inc,GMO,0.1166,Thursday,13:29,20200924,1329
Gold Standard Ventures Corp,GSV,0.7457,Thursday,13:29,20200924,1329
Geodrill Limited,GEO,10.9,Thursday,13:29,20200924,1329
Goodfellow Inc,GDL,8.4,Thursday,13:29,20200924,1329
Glg Life Tech Corp,GLG,2.41,Thursday,13:29,20200924,1329
Gran Tierra Energy Inc,GTE,0.2536,Thursday,13:29,20200924,1329
Horizons Active CDN Dividend ETF,HAL,12.63,Thursday,13:29,20200924,1329
Accelerate Absolute Return Hdg Fund ETF,HDGE,4.525,Thursday,13:29,20200924,1329
Galiano Gold Inc,GAU,1.37,Thursday,13:29,20200924,1329
Hudbay Minerals Inc,HBM,3.965,Thursday,13:29,20200924,1329
Horizons Enhanced Income Gold Prod ETF,HEP,12.6,Thursday,13:29,20200924,1329
Hexo Corp,HEXO,0.6466,Thursday,13:29,20200924,1329
Horizons Active Pref Share ETF,HPR,0.251,Thursday,13:29,20200924,1329
Betapro S&P TSX 60 Daily Inverse ETF,HIX,6.48,Thursday,13:29,20200924,1329
Horizons Resolve Adptv Asset Alloc ETF,HRAA,0.0061,Thursday,13:29,20200924,1329
Dynamic Ishares Act Global Fin Ser ETF,DXF,0.68,Thursday,13:29,20200924,1329
Dividend Select 15 Corp,DS,1.195,Thursday,13:29,20200924,1329
Blackberry Limited,BB,5.06,Thursday,13:29,20200924,1329
Desjardins CDN Pref Share ETF,DCP,10.37,Thursday,13:29,20200924,1329
Helix Biopharm,HBP,2.12,Thursday,13:29,20200924,1329
Dbox Technologies Inc,DBO,7.22,Thursday,13:29,20200924,1329
Horizons Active High Yield Bond ETF,HYI,14.03,Thursday,13:29,20200924,1329
Diversified Royalty Corp,DIV,14.78,Thursday,13:29,20200924,1329
First Trust Indxx Innov Trans Proc ETF,BLCK,1.1,Thursday,13:29,20200924,1329
Brompton Na Financials Dividend ETF,BFIN,7.09,Thursday,13:29,20200924,1329
Boralex Inc,BLX,12.21,Thursday,13:29,20200924,1329
Bri Chem Corp,BRY,3.24,Thursday,13:29,20200924,1329
Entree Resources Ltd,ETG,14.6,Thursday,13:29,20200924,1329
Ensign Energy Services Inc,ESI,10.56,Thursday,13:29,20200924,1329
Enerplus Corp,ERF,1.855,Thursday,13:29,20200924,1329
Evolve Active Global Fixed Income ETF,EARN,11.23,Thursday,13:29,20200924,1329
Bellus Health Inc,BLU,2.19,Thursday,13:29,20200924,1329
Baytex Energy Corp,BTE,0.3524,Thursday,13:29,20200924,1329
Energy Fuels Inc,EFR,11.7,Thursday,13:29,20200924,1329
Exemplar Growth and Income Fund ETF,EGIF,12.55,Thursday,13:29,20200924,1329
Euromax Resources Ltd,EOX,1.37,Thursday,13:29,20200924,1329
Equinox Gold Corp,EQX,11.52,Thursday,13:29,20200924,1329
Electrovaya Inc,EFL,8.84,Thursday,13:29,20200924,1329
Aimia Inc,AIM,2.02,Thursday,13:29,20200924,1329
Evolve Innovation Index ETF,EDGE,0.5036,Thursday,13:29,20200924,1329
Andlauer Healthcare Group Inc,AND,9.7,Thursday,13:29,20200924,1329
Alamos Gold Inc Cls A,AGI,8.86,Thursday,13:29,20200924,1329
Avino Silver and Gold Mines Ltd,ASM,1.02,Thursday,13:29,20200924,1329
Argonaut Gold Inc,AR,3.185,Thursday,13:29,20200924,1329
Aeterna Zentaris Inc,AEZS,0.3419,Thursday,13:29,20200924,1329
Atrium Mortgage Investment Corp,AI,2.665,Thursday,13:29,20200924,1329
Aurora Cannabis Inc,ACB,5.24,Thursday,13:29,20200924,1329
Aphria Inc,APHA,4.295,Thursday,13:29,20200924,1329
Acuityads Holdings Inc,AT,1.985,Thursday,13:29,20200924,1329
Apollo Healthcare Corp.,AHC,1.375,Thursday,13:29,20200924,1329
Alexco Resource Corp,AXU,2.7207,Thursday,13:29,20200924,1329
Agjunction Inc,AJX,9.31,Thursday,13:29,20200924,1329
Imperial Metals Corp,III,2.05,Thursday,13:29,20200924,1329
Anglo Pacific Group Plc,APY,10.34,Thursday,13:29,20200924,1329
Intellipharmaceutics International Inc,IPCI,0.2106,Thursday,13:29,20200924,1329
Auryn Resources Inc,AUG,1.9482,Thursday,13:29,20200924,1329
Imperial Oil,IMO,12.77,Thursday,13:29,20200924,1329
CI First Asset European Bank ETF,FHB,14.83,Thursday,13:29,20200924,1329
First Mining Gold Corp,FF,11.57,Thursday,13:29,20200924,1329
Franklin Libertyqt Intl Eqt Index ETF,FLDM,7.21,Thursday,13:29,20200924,1329
Imv Inc.,IMV,4.45,Thursday,13:29,20200924,1329
Intertape Polymer,ITP,0.474,Thursday,13:29,20200924,1329
Industrial Alliance Ins & Fin Srv Inc,IAG,3.82,Thursday,13:29,20200924,1329
Fortune Mnrl J,FT,6.84,Thursday,13:29,20200924,1329
Ishares 1-10 Yr Laddered Corp Bond ETF,CBH,8.89,Thursday,13:29,20200924,1329
Cameco Corp,CCO,0.93,Thursday,13:29,20200924,1329
CI First Asset Shrt Term Govt Bond Indx,FGB,2.3673,Thursday,13:29,20200924,1329
CI Marret Alternative Enhanced Yield ETF,CMEY,0.0001,Thursday,13:29,20200924,1329
Evolve Automobile Innovation Idx Hgd ETF,CARS,7.97,Thursday,13:29,20200924,1329
Clearwater Seafoods Incorporated,CLR,12.96,Thursday,13:29,20200924,1329
CIBC Global Growth ETF,CGLO,4.96,Thursday,13:29,20200924,1329
CI Financial Corp,CIX,13.71,Thursday,13:29,20200924,1329
Chesswood Group Limited,CHW,7.96,Thursday,13:29,20200924,1329
BMO Global Communications Index ETF,COMM,8.53,Thursday,13:29,20200924,1329
Cae Inc,CAE,14.24,Thursday,13:29,20200924,1329
