name,symbol,price,day,time,date,minute
Ishares 1-5 Yr Ladder Govt Bond ETF,CLF,5.75,Thursday,12:40,20200924,1239
Ishares Global Monthly Dividend ETF,CYH,3.765,Thursday,12:40,20200924,1239
Cenovus Energy Inc,CVE,3.955,Thursday,12:40,20200924,1239
Keyera Corp,KEY,11.6,Thursday,12:40,20200924,1239
Lithium Americas Corp,LAC,7.34,Thursday,12:40,20200924,1239
Cronos Group Inc,CRON,5.16,Thursday,12:40,20200924,1239
Just Energy Group Inc,JE,0.4899,Thursday,12:40,20200924,1239
Obsidian Energy Ltd,OBE,0.163,Thursday,12:40,20200924,1239
Organigram Holdings Inc,OGI,1.09,Thursday,12:40,20200924,1239
Osisko Gold Royalties Ltd,OR,11.65,Thursday,12:40,20200924,1239
Ovintiv Inc,OVV,8.77,Thursday,12:40,20200924,1239
Quarterhill Inc,QTRH,1.2,Thursday,12:40,20200924,1239
Evolve Global Healthcare Enhance Yld ETF,LIFE,3.8502,Thursday,12:40,20200924,1239
Excelsior Mining Corp,MIN,3.79,Thursday,12:40,20200924,1239
Mullen Group Ltd,MTL,1.53,Thursday,12:40,20200924,1239
Mav Beauty Brands Inc,MAV,10.75,Thursday,12:40,20200924,1239
Methanex Corp,MX,13.19,Thursday,12:40,20200924,1239
Mcewen Mining Inc,MUX,1.005,Thursday,12:40,20200924,1239
Mackenzie Max Dvrs US Index ETF,MUS,12.51,Thursday,12:40,20200924,1239
Magna International Inc,MG,3.87,Thursday,12:40,20200924,1239
Mackenzie Floating Rate Income ETF,MFT,13.34,Thursday,12:40,20200924,1239
Horizons Active Ai Global Equity ETF,MIND,2.05,Thursday,12:40,20200924,1239
Manulife Fin,MFC,13.68,Thursday,12:40,20200924,1239
Mogo Inc,MOGO,1.45,Thursday,12:40,20200924,1239
New Millennium Iron Corp,NML,2.36,Thursday,12:40,20200924,1239
Nexa Resources S.A.,NEXA,6.03,Thursday,12:40,20200924,1239
Medicenna Therapeutics Corp,MDNA,3.765,Thursday,12:40,20200924,1239
Neovasc Inc,NVCN,2.06,Thursday,12:40,20200924,1239
Nextsource Materials Inc,NEXT,2.9,Thursday,12:40,20200924,1239
Nexj Systems Inc,NXJ,13.49,Thursday,12:40,20200924,1239
Nexgen Energy Ltd,NXE,1.64,Thursday,12:40,20200924,1239
New Gold Inc,NGD,1.665,Thursday,12:40,20200924,1239
